horizon_hours,model,n_windows,n_original_ids,pooled_window_median_km,pooled_window_p90_km,equal_id_mean_of_window_medians_km,equal_id_mean_of_window_p90_km,median_improvement_percent_vs_linear,median_improvement_ci95_low,median_improvement_ci95_high,median_id_win_rate,p90_improvement_percent_vs_linear,p90_improvement_ci95_low,p90_improvement_ci95_high,p90_id_win_rate,window_win_rate
6,linear,403862,366,3.8629367049983037,8.395258171017547,4.367364654075783,8.326476983114892,,,,,,,,,
6,frozen_core6_mlp,403862,366,3.8503532660178017,8.356855425557397,4.355219413327892,8.306030985558035,0.2780908330280338,-0.06362324894615942,0.6184285407923458,0.5409836065573771,0.2455540031914965,0.021295475909453025,0.47468080478036456,0.5437158469945356,0.5125661735939504
6,mlp_lat7,403862,366,3.836060508718042,8.33971497475856,4.349183480550709,8.299734075657458,0.41629620984607285,-0.3364168288168251,1.1659488794168626,0.5765027322404371,0.3211791434920864,-0.14790978135909566,0.7715732349416637,0.587431693989071,0.5189594465436214
12,linear,201722,365,6.926868410139776,15.489182272817429,7.977715343165052,15.270165880414078,,,,,,,,,
12,frozen_core6_mlp,201722,365,6.89447400454638,15.42562356249402,7.963026019527731,15.211159062974044,0.18412945317616866,-0.22734524146252413,0.5945189596999934,0.5506849315068493,0.3864189682164338,0.08255211931125374,0.6832030441705316,0.5671232876712329,0.5147678488216456
12,mlp_lat7,201722,365,6.861000531083707,15.376645756978906,7.939329013215121,15.244162079806436,0.48116946141501776,-0.4111491961736944,1.3371211578923476,0.5808219178082191,0.17029153979915113,-0.3490056679485671,0.6874830053136775,0.5643835616438356,0.5210438127720328
24,linear,100667,365,12.62169129052785,28.847531341022897,14.771167385796623,27.97617037415523,,,,,,,,,
24,frozen_core6_mlp,100667,365,12.554761728222822,28.647098202053616,14.722781801425668,27.817546314192626,0.3275677751609568,-0.17381967104291163,0.8273844131498138,0.5780821917808219,0.5669970472768648,0.22544813757611198,0.9203610214218444,0.5835616438356165,0.5191572213337042
24,mlp_lat7,100667,365,12.471761524588802,28.587878896679072,14.706220450027228,27.8589915708549,0.439687223582922,-0.5629977126115241,1.4216478785114943,0.5506849315068493,0.4188521936103936,-0.18911146994018815,1.004033844180008,0.5452054794520548,0.5251373339823379
48,linear,50123,363,23.63695503055988,54.02769070616477,27.87101553417642,51.132264120679565,,,,,,,,,
48,frozen_core6_mlp,50123,363,23.492607959644808,53.63886083462019,27.729108530032338,51.01741168649143,0.509156201969279,0.01647044506569616,0.9921358218380638,0.5234159779614325,0.22461832301630247,-0.11749739233221378,0.5699261338443519,0.5261707988980716,0.520878638549169
48,mlp_lat7,50123,363,23.378940807571066,53.49732346977257,27.53384302869463,51.12243123849827,1.2097603873398006,0.1260379433275552,2.270053832658143,0.5977961432506887,0.019230289036459867,-0.6812975360175938,0.68072993735757,0.5371900826446281,0.5282205773796461
72,linear,33289,357,33.77455823800165,76.71001582127907,39.96376017342035,71.69819256135868,,,,,,,,,
72,frozen_core6_mlp,33289,357,33.551096800445606,76.21017492963118,39.65256041712372,71.47457728589022,0.7787048939994411,0.26865949566122466,1.2926473912985477,0.5742296918767507,0.31188411796725984,-0.08228716968548289,0.7030049817720477,0.5210084033613446,0.5196911892817447
72,mlp_lat7,33289,357,33.45278478554287,75.78703810208583,39.47866390180281,71.4558738623514,1.2138404131955796,0.1947849664556299,2.2202617351979543,0.5854341736694678,0.33797044297861595,-0.43174545238830103,1.075328248967664,0.5434173669467787,0.5289434948481481
