horizon_hours,model,n_windows,n_original_ids,pooled_window_median_km,pooled_window_p90_km,equal_id_mean_of_window_medians_km,equal_id_mean_of_window_p90_km,median_improvement_percent_vs_wind_only,median_improvement_ci95_low,median_improvement_ci95_high,median_id_wins,median_id_ties,median_id_losses,median_id_win_rate,p90_improvement_percent_vs_wind_only,p90_improvement_ci95_low,p90_improvement_ci95_high,p90_id_win_rate,window_win_rate
6,wind_only_mlp,403862,366,3.855963265251863,8.382818315042687,4.365221961605809,8.319622653616198,,,,,,,,,,,,
6,frozen_core6_mlp,403862,366,3.8503532660178017,8.356855425557397,4.355219413327892,8.306030985558035,0.22914180231599895,-0.08403880296651231,0.5428985245729865,209,0,157,0.5710382513661202,0.16336880438027587,-0.04439102320593113,0.37975421730018566,0.5382513661202186,0.5056108274608654
12,wind_only_mlp,201722,365,6.919400821028368,15.493985246847211,7.975706013641867,15.247916213949566,,,,,,,,,,,,
12,frozen_core6_mlp,201722,365,6.89447400454638,15.42562356249402,7.963026019527731,15.211159062974044,0.15898271692121071,-0.230595284388827,0.5306052912562369,202,0,163,0.5534246575342465,0.24106343752003484,-0.028663000299543048,0.5129498562289473,0.5698630136986301,0.5073417872121038
24,wind_only_mlp,100667,365,12.581725594689768,28.779986225807153,14.760724118586147,27.94470011568677,,,,,,,,,,,,
24,frozen_core6_mlp,100667,365,12.554761728222822,28.647098202053616,14.722781801425668,27.817546314192626,0.2570491586703591,-0.2563755960978985,0.7411557087977159,200,0,165,0.547945205479452,0.4550193810194718,0.13590421856023785,0.7753199603364757,0.5506849315068493,0.5112698302323502
48,wind_only_mlp,50123,363,23.586292523881287,53.92498371573531,27.883131987109863,51.09485540486678,,,,,,,,,,,,
48,frozen_core6_mlp,50123,363,23.492607959644808,53.63886083462019,27.729108530032338,51.01741168649143,0.5523893698481522,0.0725692139720226,1.0184330832958446,204,0,159,0.5619834710743802,0.15156852438802015,-0.16171303901429054,0.4670480105581942,0.5041322314049587,0.5140554236578018
72,wind_only_mlp,33289,357,33.721817471979776,76.62535571691346,39.83099710085863,71.57781476462587,,,,,,,,,,,,
72,frozen_core6_mlp,33289,357,33.551096800445606,76.21017492963118,39.65256041712372,71.47457728589022,0.4479844762185523,-0.025592079074403674,0.9244965213361992,184,0,173,0.5154061624649859,0.14423111277584122,-0.20212761375239033,0.48839269893724524,0.5126050420168067,0.5138333984198985
